Document ID,Coder ID,CODE,CATEGORY,VALUE,new value,note
5,Miguel,All the students were sent home early due to the fear-inducing element of the attack.,action,escape,,
5,Miguel,It was very confusing for me at the time.,thought,confusion,,
5,Miguel,I didn't fully comprehend it but I was also fearful of what I could understand.,emotion,fear,,
5,Miguel,I didn't fully comprehend it but I was also fearful of what I could understand.,thought,incomprehensible,,
5,Miguel,I felt my mother's anxieties as we didn't know the status of my father's whereabouts.,emotion,anxiety,1,
5,Miguel,"I'll never forget how both my parents were stuck to the television with the news on, especially during a time where that wasn't the norm.",action,Trying to get information in,,
5,Miguel,"Things were different, and attitudes toward various immigrant communities definitely felt the backlash of this event.",action,increased racism,,
5,Miguel,I recall blocks full of broken glass everywhere probably months after there was a major clean-up.,event,broken glass,,
6,Miguel,"Shortly after 9 a.m., a colleague came to my office and said, ""A plane just crashed into the World Trade Center.""",action,Trying to get information in,,
6,Miguel,"I replied, ""That's the most ridiculous thing I've ever heard.""",thought,disbelief,,
6,Miguel,"I walked down the ramp and looked around, then noticed a group of people clustered around a television screen.",action,Trying to get information in,,
6,Miguel,"I went back to my office to call my husband who was at work in Connecticut, but my call attempts would not go through.",action,Trying to get information in,,
6,Miguel,"After several tries with no success in reaching him, I thought I should instead go check on my 70-plus-year-old mother, who was a short subway ride away in the Bronx.",action,Trying to get information in,,
6,Miguel,Mommy was fine. My husband was fine. I thought I was all right.,thought,relief,1,
6,Miguel,"In that moment I was not thinking of my training in counseling, though I was grateful for its part in helping me to keep my composure.",thought,gratefulness,,
6,Miguel,"I was thinking to myself, ""Our lives will never be the same. Will we be all right?""",thought,doubt,1,
6,Miguel,"Subconsciously then, but now known to me, I had actually spent well over a decade past 9/11 avoiding working in spaces higher than the sixth floor.",action,avoidance,1,
6,Miguel,"Thankfully, as time has passed on, so have those feelings and fears.",emotion,growth,1,
8,Miguel,"The morning of the attack, I sat on my terrace, reviewing my notes when I suddenly saw a huge black cloud billowing over lower Manhattan.",event,cloud,1,
8,Miguel,"Rushing inside, turning on the television, watching the second plane crash, and very quickly receiving news that the Pentagon had been struck",action,run,,
8,Miguel,"Rushing inside, turning on the television, watching the second plane crash, and very quickly receiving news that the Pentagon had been struck",action,Trying to get information in,,
8,Miguel,I remember the first reaction as concern for immediate family in New York and D.C.,emotion,worry,,
8,Miguel,"followed by shock, confusion, and outrage.",emotion,shock,1,
8,Miguel,"followed by shock, confusion, and outrage.",thought,confusion,,
8,Miguel,"followed by shock, confusion, and outrage.",emotion,anger,,
8,Miguel,"Communications were limited to the telephone, basic email, radio, and news.",action,Trying to get information in,,
9,Miguel,"And I remember how, after the 9/11 attacks, there was a putrid smell that engulfed most of NYC for literally months.",event,putrid smell,1,
9,Miguel,"I mean, I’ve lived in N.Y. my entire life, and I swear to god, I have never seen anyone—let alone folks from New York—be so courteous to one another.",action,try to help others,,
10,Miguel,We watched together in stunned silence the live TV images of men and women jumping from the top floors of the World Trade Center as the flames engulfed them,action,Trying to get information in,,
10,Miguel,We watched together in stunned silence the live TV images of men and women jumping from the top floors of the World Trade Center as the flames engulfed them,action,people freefalling,,
11,Miguel,the departmental secretary came running out of her office where she always had a radio on. She announced an airplane had just hit the World Trade Center.,action,trying to get information in,,
11,Miguel,the departmental secretary came running out of her office where she always had a radio on. She announced an airplane had just hit the World Trade Center.,action,trying to get information in,,
11,Miguel,"I continued to Rosati Hall and as I was about to enter, a student came running out yelling a second airplane had hit.",action,trying to get information in,,
11,Miguel,"I exclaimed ""Oh, my God, it's deliberate!""",thought,intentionality,,
12,Miguel,"We had a small black and white Panasonic television in our staff room, and I brought that out to the circulation desk where staff and patrons all gathered to watch.",action,trying to get information in,,
12,Miguel,"The phones started ringing with relatives and friends calling, including my sister, who lives in D.C., where the Pentagon had also been hit.",action,trying to get information in,,
12,Miguel,We watched that station and added CBS radio for sound and reports on what was happening.,action,trying to get information in,,
12,Miguel,watching scenes of the devastation,action,trying to get information in,,
12,Miguel,listening to reports coming in,action,trying to get information in,,
12,Miguel,worrying about those we knew who worked or lived in that area,thought,think about those involved,,
12,Miguel,talking with friends and loved ones to share our shock and sadness over what had happened.,action,coping strategy or behavior,,
12,Miguel,talking with friends and loved ones to share our shock and sadness over what had happened.,emotion,shock,1,
12,Miguel,talking with friends and loved ones to share our shock and sadness over what had happened.,emotion,sadness,,
13,Miguel,I heard my mother upstairs crying,action,crying,1,
13,Miguel,I went upstairs and saw on television smoke rising from the one World Trade Center tower still standing.,action,trying to get information in,,
13,Miguel,I went upstairs and saw on television smoke rising from the one World Trade Center tower still standing.,event,smoke,,
13,Miguel,I watched the second tower fall on live television and was heart-wrenched to think that hundreds of people lost their lives at that very moment.,thought,think about those involved,,
13,Miguel,I watched the second tower fall on live television and was heart-wrenched to think that hundreds of people lost their lives at that very moment.,event,tower fall,1,
14,Miguel,I turned away and headed for home.,action,coping strategy or behavior,,
14,Miguel,I was unsure what to do when I walked into my apartment. Nothing made sense.,action,freeze,,
14,Miguel,"I turned on CNN, if I was thinking anything, maybe I was thinking they could make sense of this.",action,trying to get information in,,
14,Miguel,They aired it,action,trying to get information in,,
14,Miguel,I continued watching the news.,action,trying to get information in,,
14,Miguel,I turned the TV off and stayed away from the news for a very long time.,action,coping strategy or behavior,,
